,,,Passing,,,,,,,,,,,,,,,,,
Rk,Year,Tms,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A
34,1992,28,17.2,29.9,57.5,187.6,1.2,3.8,1.2,3.9,6.3,5.3,10.9,187.6,75.3,2.5,17.7,7.8,5.78,4.9
35,1991,28,17.9,31.1,57.4,199.1,1.1,3.7,1.1,3.5,6.4,5.6,11.1,199.1,76.2,2.2,15.4,6.6,5.97,5.2
36,1990,28,16.9,30.2,56,194.8,1.3,4.3,1.1,3.6,6.5,5.7,11.5,194.8,77.3,2.4,16.6,7.3,5.98,5.3
37,1989,28,17.9,32,55.8,210.9,1.3,4.1,1.2,3.9,6.6,5.6,11.8,210.9,75.6,2.5,17.8,7.2,6.12,5.2
38,1988,28,17.1,31.5,54.3,200.7,1.2,3.9,1.2,3.9,6.4,5.4,11.7,200.7,72.9,2.3,17.3,6.8,5.93,5
39,1987,28,17.6,32.1,54.8,203.9,1.5,4.5,1.3,4,6.3,5.5,11.6,203.9,75.2,2.6,19.6,7.6,5.87,5
40,1986,28,17.9,32.3,55.4,205.5,1.3,4.1,1.3,4,6.4,5.4,11.5,205.5,74.1,2.7,20.2,7.6,5.88,5
41,1985,28,17.7,32.2,54.8,204.5,1.3,4.1,1.3,4.2,6.4,5.3,11.6,204.5,73.5,2.9,22.1,8.3,5.83,4.9
42,1984,28,18,32,56.4,205.9,1.4,4.3,1.3,4.1,6.4,5.5,11.4,205.9,76.1,2.9,22.3,8.4,5.9,5
43,1983,28,17.8,31.4,56.9,204.6,1.4,4.4,1.4,4.4,6.5,5.4,11.5,204.6,75.9,2.7,20.6,8,6.01,5
44,1982,28,17.8,31.5,56.4,199.4,1.3,4,1.4,4.4,6.3,5.2,11.2,199.4,73.4,2.7,21.4,7.8,5.84,4.8
45,1981,28,17.3,31.7,54.6,204.4,1.3,4.2,1.4,4.3,6.5,5.4,11.8,204.4,72.9,2.3,18.2,6.7,6.02,5
46,1980,28,17.2,30.6,56.2,196,1.4,4.4,1.4,4.6,6.4,5.2,11.4,196,73.7,2.3,18.2,7,5.96,4.9
47,1979,28,15.7,29,54.1,180.4,1.2,4.1,1.3,4.6,6.2,5,11.5,180.4,70.4,2.4,18.7,7.5,5.76,4.6
48,1978,28,14,26.4,53.1,158.8,1,4,1.4,5.4,6,4.4,11.3,158.8,65,2.3,18.7,7.9,5.54,4
49,1977,28,12.8,25,51.3,141.9,1,4,1.4,5.7,5.7,3.9,11.1,141.9,61.2,2.4,20.3,8.9,5.18,3.5
50,1976,28,13.7,26.2,52.2,152,1.1,4.2,1.3,4.8,5.8,4.5,11.1,152,67,2.6,21.4,9.1,5.28,4.1
51,1975,26,14.4,27.4,52.5,162.8,1.2,4.3,1.5,5.3,5.9,4.4,11.3,162.8,65.8,2.5,20.2,8.3,5.45,4
52,1974,26,13.8,26.4,52.5,153.2,1,3.9,1.4,5.2,5.8,4.2,11.1,153.2,64.2,2.3,18.2,7.9,5.35,3.9
53,1973,26,12.6,24.3,52,140.9,1,4.3,1.3,5.3,5.8,4.3,11.1,140.9,64.9,2.4,18.4,8.9,5.29,3.9
54,1972,26,12.8,24.8,51.7,152.1,1.1,4.5,1.3,5.3,6.1,4.6,11.9,152.1,66.3,2.1,16.7,7.8,5.66,4.3
55,1971,26,13.2,25.9,50.9,155.7,1.1,4.1,1.5,5.8,6,4.2,11.8,155.7,62.2,2.1,18.1,7.5,5.57,3.9
56,1970,26,13.8,26.9,51.1,161.4,1.2,4.4,1.4,5.2,6,4.5,11.7,161.4,65.6,2.4,19.7,8.2,5.51,4.2
57,1969,16,14.9,28.3,52.6,177.5,1.4,5.1,1.4,4.9,6.3,5.1,11.9,177.5,71.6,2.5,20.4,8.1,5.76,4.7
58,1968,16,13.8,26.8,51.6,168.5,1.4,5.1,1.5,5.5,6.3,4.9,12.2,168.5,68.7,2.4,19.4,8.3,5.77,4.5
59,1967,16,14.7,28.8,51,179.5,1.4,5,1.6,5.7,6.2,4.7,12.2,179.5,66.6,2.5,20.5,7.8,5.75,4.3
60,1966,15,15,29.1,51.6,178.3,1.3,4.6,1.5,5.2,6.1,4.7,11.9,178.3,67.4,2.8,22.8,8.8,5.59,4.3
61,1965,14,14.2,27.6,51.3,183.8,1.6,5.7,1.4,5.1,6.7,5.5,13,183.8,73.5,2.7,22,8.8,6.08,5
62,1964,14,14.3,27.7,51.4,173.6,1.4,5.1,1.3,4.8,6.3,5.1,12.2,173.6,71.7,3.1,24.9,10,5.64,4.6
63,1963,14,14.2,27.6,51.5,185.7,1.5,5.6,1.5,5.6,6.7,5.3,13,185.7,71.7,2.6,22.1,8.5,6.15,4.9
64,1962,14,14.6,27.3,53.3,193.8,1.5,5.6,1.7,6.1,7.1,5.5,13.3,193.8,72.6,0,20.8,0,7.09,5.5
65,1961,14,14.1,27,52.1,180.5,1.5,5.4,1.7,6.3,6.7,4.9,12.8,180.5,68.5,0,21.5,0,6.68,4.9
66,1960,13,13.2,26.4,50.2,170.6,1.4,5.4,1.8,6.7,6.5,4.5,12.9,170.6,64.2,0,20.1,0,6.47,4.5
67,1959,12,12.9,25.8,50,169.8,1.4,5.3,1.5,6,6.6,5,13.2,169.8,66.9,0,17.2,0,6.58,5
68,1958,12,13.6,27.4,49.4,180.4,1.5,5.3,1.7,6.2,6.6,4.9,13.3,180.4,65.3,0,16.1,0,6.57,4.9
69,1957,12,11.7,23.2,50.5,153.4,1.2,5.1,1.6,6.9,6.6,4.5,13.1,153.4,63.2,0,18.4,0,6.62,4.5
70,1956,12,11.5,22.8,50.5,147.6,1.1,4.9,1.7,7.3,6.5,4.2,12.8,147.6,59.6,0,13.8,0,6.48,4.2
